date,symbol,exdate,cp_flag,strike_price,best_bid,best_offer,impl_volatility,mid,T
12/30/20,AAPL 210917C82500,9/17/21,C,82.5,52.6,53.05,0.448356,52.825,261
12/30/20,AAPL 210917C85000,9/17/21,C,85,50.3,50.8,0.439828,50.55,261
12/30/20,AAPL 210917C87500,9/17/21,C,87.5,48.1,48.55,0.433257,48.325,261
12/30/20,AAPL 210917C90000,9/17/21,C,90,45.9,46.4,0.428085,46.15,261
12/30/20,AAPL 210917C92500,9/17/21,C,92.5,43.75,44.2,0.42105,43.975,261
12/30/20,AAPL 210917C95000,9/17/21,C,95,41.6,42.1,0.415057,41.85,261
12/30/20,AAPL 210917C97500,9/17/21,C,97.5,39.6,40.05,0.411891,39.825,261
12/30/20,AAPL 210917C100000,9/17/21,C,100,37.6,37.95,0.405975,37.775,261
12/30/20,AAPL 210917C102500,9/17/21,C,102.5,35.6,36.1,0.403145,35.85,261
12/30/20,AAPL 210917C105000,9/17/21,C,105,33.7,34.2,0.399662,33.95,261
12/30/20,AAPL 210917C107500,9/17/21,C,107.5,32.05,32.35,0.399266,32.2,261
12/30/20,AAPL 210917C110000,9/17/21,C,110,30.15,30.55,0.394062,30.35,261
12/30/20,AAPL 210917C112500,9/17/21,C,112.5,28.45,28.8,0.391172,28.625,261
12/30/20,AAPL 210917C115000,9/17/21,C,115,26.8,27.2,0.389506,27,261
12/30/20,AAPL 210917C117500,9/17/21,C,117.5,25.2,25.6,0.386872,25.4,261
12/30/20,AAPL 210917C120000,9/17/21,C,120,23.7,24.05,0.384832,23.875,261
12/30/20,AAPL 210917C122500,9/17/21,C,122.5,22.3,22.55,0.383241,22.425,261
12/30/20,AAPL 210917C125000,9/17/21,C,125,20.85,21.15,0.380685,21,261
12/30/20,AAPL 210917C130000,9/17/21,C,130,18.25,18.5,0.376924,18.375,261
12/30/20,AAPL 210917C135000,9/17/21,C,135,16,16.15,0.375171,16.075,261
12/30/20,AAPL 210917C140000,9/17/21,C,140,13.85,14.1,0.372977,13.975,261
12/30/20,AAPL 210917C145000,9/17/21,C,145,12,12.15,0.370316,12.075,261
12/30/20,AAPL 210917C150000,9/17/21,C,150,10.35,10.55,0.369265,10.45,261
12/30/20,AAPL 210917C155000,9/17/21,C,155,8.9,9.1,0.367985,9,261
12/30/20,AAPL 210917C160000,9/17/21,C,160,7.7,7.85,0.367986,7.775,261
12/30/20,AAPL 210917C165000,9/17/21,C,165,6.6,6.8,0.367902,6.7,261
12/30/20,AAPL 210917C170000,9/17/21,C,170,5.65,5.85,0.367451,5.75,261
12/30/20,AAPL 210917C175000,9/17/21,C,175,4.9,5.05,0.368527,4.975,261
12/30/20,AAPL 210917C180000,9/17/21,C,180,4.25,4.4,0.370298,4.325,261
12/30/20,AAPL 210917C185000,9/17/21,C,185,3.7,3.85,0.372447,3.775,261
12/30/20,AAPL 210917C190000,9/17/21,C,190,3.2,3.4,0.37465,3.3,261
12/30/20,AAPL 210917C195000,9/17/21,C,195,2.85,2.97,0.377597,2.91,261
12/30/20,AAPL 210917C200000,9/17/21,C,200,2.54,2.63,0.381105,2.585,261
12/30/20,AAPL 210917C225000,9/17/21,C,225,1.53,1.61,0.402929,1.57,261
12/30/20,AAPL 210917C250000,9/17/21,C,250,1.11,1.13,0.430549,1.12,261
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
